adjective,noun,tone,key,instrument,maj_min
eventual,commercial,,,,
everlasting,low,,,,
every,purchase,,,,
evil,deal,,,,
evocative,primary,,,,
exacerbating,worth,,,,
exact,fall,,,,
exacting,necessary,,,,
exaggerated,positive,,,,
exalted,produce,,,,
exasperated,search,,,,
exasperating,present,,,,
excellent,spend,,,,
exceptional,talk,,,,
excessive,creative,,,,
exchangeable,tell,,,,
excitable,cost,,,,
excited,drive,,,,
exciting,green,,,,
exclusive,support,,,,
excruciating,glad,,,,
excusable,remove,,,,
executable,return,,,,
exemplary,run,,,,
exhausted,complex,,,,
exhausting,due,,,,
exhaustive,effective,,,,
exhilarated,middle,,,,
exhilarating,regular,,,,
existing,reserve,,,,
exotic,independent,,,,
expandable,leave,,,,
expanded,original,,,,
expanding,reach,,,,
expansive,rest,,,,
expectant,serve,,,,
expected,watch,,,,
expedient,beautiful,,,,
expeditious,charge,,,,
expendable,active,,,,
expensive,break,,,,
experimental,negative,,,,
expert,safe,,,,
expired,stay,,,,
expiring,visit,,,,
explainable,visual,,,,
explicit,affect,,,,
exploding,cover,,,,
exploitative,report,,,,
exploited,rise,,,,
explosive,walk,,,,
exponential,white,,,,
exposed,beyond,,,,
express,junior,,,,
expressionistic,pick,,,,
expressionless,unique,,,,
expressive,anything,,,,
exquisite,classic,,,,
extemporaneous,final,,,,
extendable,lift,,,,
extended,mix,,,,
extension,private,,,,
extensive,stop,,,,
exterior,teach,,,,
external,western,,,,
extra,concern,,,,
extra-large,familiar,,,,
extraneous,fly,,,,
extraordinary,official,,,,
extra-small,broad,,,,
extravagant,comfortable,,,,
extreme,gain,,,,
exuberant,maybe,,,,
eye-popping,rich,,,,
fabled,save,,,,
fabulous,stand,,,,
facetious,young,,,,
facial,fail,,,,
factitious,heavy,,,,
factual,hello,,,,
faded,lead,,,,
fading,listen,,,,
failed,valuable,,,,
faint,worry,,,,
fainthearted,handle,,,,
fair,leading,,,,
faithful,meet,,,,
faithless,release,,,,
fallacious,sell,,,,
FALSE,finish,,,,
falsified,normal,,,,
faltering,press,,,,
familiar,ride,,,,
famished,secret,,,,
famous,spread,,,,
fanatical,spring,,,,
fanciful,tough,,,,
fancy,wait,,,,
fantastic,brown,,,,
far,deep,,,,
faraway,display,,,,
farcical,flow,,,,
far-flung,hit,,,,
farsighted,objective,,,,
fascinated,shoot,,,,
fascinating,touch,,,,
fascistic,cancel,,,,
fashionable,chemical,,,,
fast,cry,,,,
fastest,dump,,,,
fastidious,extreme,,,,
fast-moving,push,,,,
fat,conflict,,,,
fatal,eat,,,,
fateful,fill,,,,
fatherly,formal,,,,
fathomable,jump,,,,
fathomless,kick,,,,
fatigued,opposite,,,,
faulty,pass,,,,
favorable,pitch,,,,
favorite,remote,,,,
fawning,total,,,,
feared,treat,,,,
fearful,vast,,,,
fearless,abuse,,,,
fearsome,beat,,,,
feathered,burn,,,,
feathery,deposit,,,,
feckless,print,,,,
federal,raise,,,,
feeble,sleep,,,,
feebleminded,somewhere,,,,
feeling,advance,,,,
feigned,anywhere,,,,
felonious,consist,,,,
female,dark,,,,
feminine,double,,,,
fermented,draw,,,,
ferocious,equal,,,,
fertile,fix,,,,
fervent,hire,,,,
fervid,internal,,,,
festive,join,,,,
fetching,kill,,,,
fetid,sensitive,,,,
feudal,tap,,,,
feverish,win,,,,
few,attack,,,,
fewer,claim,,,,
fictional,constant,,,,
fictitious,drag,,,,
fidgeting,drink,,,,
fidgety,guess,,,,
fiendish,minor,,,,
fierce,pull,,,,
fiery,raw,,,,
fifth,soft,,,,
filmy,solid,,,,
filtered,wear,,,,
filthy,weird,,,,
final,wonder,,,,
financial,annual,,,,
fine,count,,,,
finicky,dead,,,,
finite,doubt,,,,
fireproof,feed,,,,
firm,forever,,,,
first,impress,,,,
fiscal,nobody,,,,
fishy,repeat,,,,
fit,round,,,,
fitted,sing,,,,
fitting,slide,,,,
five,strip,,,,
fixable,whereas,,,,
fixed,wish,,,,
flabby,combine,,,,
flagrant,command,,,,
flaky,dig,,,,
flamboyant,divide,,,,
flaming,equivalent,,,,
flammable,hang,,,,
flashy,hunt,,,,
flat,initial,,,,
flattened,march,,,,
flattered,mention,,,,
flattering,smell,,,,
flavored,spiritual,,,,
flavorful,survey,,,,
flavorless,tie,,,,
flawed,adult,,,,
flawless,brief,,,,
fleeting,crazy,,,,
flexible,escape,,,,
flickering,gather,,,,
flimsy,hate,,,,
flippant,prior,,,,
flirtatious,repair,,,,
floating,rough,,,,
flooded,sad,,,,
floppy,scratch,,,,
floral,sick,,,,
flowering,strike,,,,
flowery,employ,,,,
fluent,external,,,,
fluffy,hurt,,,,
flushed,illegal,,,,
fluttering,laugh,,,,
flying,lay,,,,
foamy,mobile,,,,
focused,nasty,,,,
foggy,ordinary,,,,
folded,respond,,,,
following,royal,,,,
fond,senior,,,,
foolhardy,split,,,,
foolish,strain,,,,
forbidding,struggle,,,,
forceful,swim,,,,
foreboding,train,,,,
foregoing,upper,,,,
foreign,wash,,,,
forensic,yellow,,,,
foreseeable,convert,,,,
forged,crash,,,,
forgetful,dependent,,,,
forgettable,fold,,,,
forgivable,funny,,,,
forgiving,grab,,,,
forgotten,hide,,,,
forked,miss,,,,
formal,permit,,,,
formative,quote,,,,
former,recover,,,,
formidable,resolve,,,,
formless,roll,,,,
formulaic,sink,,,,
forthright,slip,,,,
fortuitous,spare,,,,
fortunate,suspect,,,,
forward,sweet,,,,
foul,swing,,,,
foul-smelling,twist,,,,
four,upstairs,,,,
fourth,usual,,,,
foxy,abroad,,,,
fractional,brave,,,,
fractious,calm,,,,
fragile,concentrate,,,,
fragmented,estimate,,,,
fragrant,grand,,,,
frail,male,,,,
frank,mine,,,,
frantic,prompt,,,,
fraternal,quiet,,,,
fraudulent,refuse,,,,
frayed,regret,,,,
freakish,reveal,,,,
freaky,rush,,,,
freckled,shake,,,,
free,shift,,,,
freezing,shine,,,,
frequent,steal,,,,
fresh,suck,,,,
fretful,surround,,,,
fried,anybody,,,,
friendly,bear,,,,
frightened,brilliant,,,,
frightening,dare,,,,
frightful,dear,,,,
frigid,delay,,,,
frilly,drunk,,,,
frisky,female,,,,
frivolous,hurry,,,,
front,inevitable,,,,
frosty,invite,,,,
frothy,kiss,,,,
frowning,neat,,,,
frozen,pop,,,,
frugal,punch,,,,
fruitful,quit,,,,
fruitless,reply,,,,
fruity,representative,,,,
frumpy,resist,,,,
frustrated,rip,,,,
frustrating,rub,,,,
fulfilled,silly,,,,
fulfilling,smile,,,,
full,spell,,,,
fully-grown,stretch,,,,
fumbling,stupid,,,,
fuming,tear,,,,
fun,temporary,,,,
functional,tomorrow,,,,
fundamental,wake,,,,
fun-loving,wrap,,,,
funniest,yesterday,,,,
funny,alchemist,,,,
furious,blanket,,,,
furry,ship,,,,
furthest,rebound,,,,
furtive,end,,,,
fussy,beginning,,,,
futile,middle,,,,
future,size,,,,
futuristic,distance,,,,
fuzzy,space,,,,
gabby,reset,,,,
gainful,dawn,,,,
gallant,warning,,,,
galling,epoch,,,,
game,oblivion,,,,
gangly,zero,,,,
gaping,ghost,,,,
garbled,standoff,,,,
gargantuan,justice,,,,
garish,soapbox,,,,
garrulous,chaos,,,,
gaseous,breath,,,,
gasping,,,,,
gaudy,,,,,
gaunt,,,,,
gauzy,,,,,
gawky,,,,,
general,,,,,
generative,,,,,
generic,,,,,
generous,,,,,
genial,,,,,
gentle,,,,,
genuine,,,,,
geographic,,,,,
geologic,,,,,
geometric,,,,,
geriatric,,,,,
ghastly,,,,,
ghostly,,,,,
ghoulish,,,,,
giant,,,,,
giddy,,,,,
gifted,,,,,
gigantic,,,,,
giggling,,,,,
gilded,,,,,
giving,,,,,
glad,,,,,
glamorous,,,,,
glaring,,,,,
glass,,,,,
glassy,,,,,
gleaming,,,,,
glib,,,,,
glistening,,,,,
glittering,,,,,
global,,,,,
globular,,,,,
gloomy,,,,,
glorious,,,,,
glossy,,,,,
glowing,,,,,
gluey,,,,,
glum,,,,,
gluttonous,,,,,
gnarly,,,,,
gold,,,,,
golden,,,,,
good,,,,,
good-looking,,,,,
good-natured,,,,,
gooey,,,,,
goofy,,,,,
gorgeous,,,,,
graceful,,,,,
gracious,,,,,
gradual,,,,,
grainy,,,,,
grand,,,,,
grandiose,,,,,
graphic,,,,,
grateful,,,,,
gratified,,,,,
gratifying,,,,,
grating,,,,,
gratis,,,,,
gratuitous,,,,,
grave,,,,,
gray,,,,,
greasy,,,,,
great,,,,,
greatest,,,,,
greedy,,,,,
green,,,,,
gregarious,,,,,
grey,,,,,
grieving,,,,,
grim,,,,,
grimacing,,,,,
grimy,,,,,
grinding,,,,,
grinning,,,,,
gripping,,,,,
gritty,,,,,
grizzled,,,,,
groaning,,,,,
groggy,,,,,
groomed,,,,,
groovy,,,,,
gross,,,,,
grotesque,,,,,
grouchy,,,,,
growling,,,,,
grown-up,,,,,
grubby,,,,,
grueling,,,,,
gruesome,,,,,
gruff,,,,,
grumbling,,,,,
grumpy,,,,,
guaranteed,,,,,
guarded,,,,,
guiltless,,,,,
guilt-ridden,,,,,
guilty,,,,,
gullible,,,,,
gurgling,,,,,
gushing,,,,,
gushy,,,,,
gusty,,,,,
gutsy,,,,,
habitable,,,,,
habitual,,,,,
haggard,,,,,
hairless,,,,,
hairy,,,,,
half,,,,,
halfhearted,,,,,
hallowed,,,,,
halting,,,,,
handsome,,,,,
handy,,,,,
hanging,,,,,
haphazard,,,,,
hapless,,,,,
happy,,,,,
hard,,,,,
hard-to-find,,,,,
hardworking,,,,,
hardy,,,,,
harebrained,,,,,
harmful,,,,,
harmless,,,,,
harmonic,,,,,
harmonious,,,,,
harried,,,,,
harsh,,,,,
hasty,,,,,
hated,,,,,
hateful,,,,,
haughty,,,,,
haunting,,,,,
hawkish,,,,,
hazardous,,,,,
hazy,,,,,
head,,,,,
heady,,,,,
healthy,,,,,
heartbreaking,,,,,
heartbroken,,,,,
heartless,,,,,
heartrending,,,,,
hearty,,,,,
heated,,,,,
heavenly,,,,,
heavy,,,,,
hectic,,,,,
hefty,,,,,
heinous,,,,,
helpful,,,,,
helpless,,,,,
her,,,,,
heroic,,,,,
hesitant,,,,,
hideous,,,,,
high,,,,,
highest,,,,,
highfalutin,,,,,
high-functioning,,,,,
high-maintenance,,,,,
high-pitched,,,,,
high-risk,,,,,
hilarious,,,,,
his,,,,,
hissing,,,,,
historical,,,,,
hoarse,,,,,
hoggish,,,,,
holiday,,,,,
holistic,,,,,
hollow,,,,,
home,,,,,
homeless,,,,,
homely,,,,,
homeopathic,,,,,
homey,,,,,
homogeneous,,,,,
honest,,,,,
honking,,,,,
honorable,,,,,
hopeful,,,,,
hopeless,,,,,
horizontal,,,,,
hormonal,,,,,
horned,,,,,
horrendous,,,,,
horrible,,,,,
horrid,,,,,
horrific,,,,,
horrified,,,,,
horrifying,,,,,
hospitable,,,,,
hostile,,,,,
hot,,,,,
hot,,,,,
hot-blooded,,,,,
hotheaded,,,,,
hot-shot,,,,,
hot-tempered,,,,,
hour-long,,,,,
house,,,,,
howling,,,,,
huffy,,,,,
huge,,,,,
huggable,,,,,
hulking,,,,,
human,,,,,
humanitarian,,,,,
humanlike,,,,,
humble,,,,,
humdrum,,,,,
humid,,,,,
humiliated,,,,,
humiliating,,,,,
humming,,,,,
humongous,,,,,
humorless,,,,,
humorous,,,,,
hungry,,,,,
hurried,,,,,
hurt,,,,,
hurtful,,,,,
hushed,,,,,
husky,,,,,
hydraulic,,,,,
hydrothermal,,,,,
hygienic,,,,,
hyper-active,,,,,
hyperbolic,,,,,
hypercritical,,,,,
hyperirritable,,,,,
hypersensitive,,,,,
hypertensive,,,,,
hypnotic,,,,,
hypnotizable,,,,,
hypothetical,,,,,
hysterical,,,,,
icky,,,,,
iconoclastic,,,,,
icy,,,,,
icy-cold,,,,,
ideal,,,,,
idealistic,,,,,
identical,,,,,
identifiable,,,,,
idiosyncratic,,,,,
idiotic,,,,,
idyllic,,,,,
ignorable,,,,,
ignorant,,,,,
ill,,,,,
illegal,,,,,
illegible,,,,,
illegitimate,,,,,
ill-equipped,,,,,
ill-fated,,,,,
ill-humored,,,,,
illicit,,,,,
ill-informed,,,,,
illiterate,,,,,
illogical,,,,,
illuminating,,,,,
illusive,,,,,
illustrious,,,,,
imaginable,,,,,
imaginary,,,,,
imaginative,,,,,
imitative,,,,,
immaculate,,,,,
immanent,,,,,
immature,,,,,
immeasurable,,,,,
immediate,,,,,
immense,,,,,
immensurable,,,,,
imminent,,,,,
immobile,,,,,
immodest,,,,,
immoral,,,,,
immortal,,,,,
immovable,,,,,
impartial,,,,,
impassable,,,,,
impassioned,,,,,
impatient,,,,,
impeccable,,,,,
impenetrable,,,,,
imperative,,,,,
imperceptible,,,,,
imperceptive,,,,,
imperfect,,,,,
imperial,,,,,
imperialistic,,,,,
impermeable,,,,,
impersonal,,,,,
impertinent,,,,,
impervious,,,,,
impetuous,,,,,
impish,,,,,
implausible,,,,,
implicit,,,,,
implosive,,,,,
impolite,,,,,
imponderable,,,,,
important,,,,,
imported,,,,,
imposing,,,,,
impossible,,,,,
impoverished,,,,,
impractical,,,,,
imprecise,,,,,
impressionable,,,,,
impressive,,,,,
improbable,,,,,
improper,,,,,
improvable,,,,,
improved,,,,,
improving,,,,,
imprudent,,,,,
impulsive,,,,,
impure,,,,,
inaccessible,,,,,
inaccurate,,,,,
inactive,,,,,
inadequate,,,,,
inadmissible,,,,,
inadvertent,,,,,
inadvisable,,,,,
inalienable,,,,,
inalterable,,,,,
inane,,,,,
inanimate,,,,,
inapplicable,,,,,
inappropriate,,,,,
inapt,,,,,
inarguable,,,,,
inarticulate,,,,,
inartistic,,,,,
inattentive,,,,,
inaudible,,,,,
inauspicious,,,,,
incalculable,,,,,
incandescent,,,,,
incapable,,,,,
incessant,,,,,
incidental,,,,,
inclusive,,,,,
incoherent,,,,,
incomparable,,,,,
incompatible,,,,,
incompetent,,,,,
incomplete,,,,,
incomprehensible,,,,,
inconceivable,,,,,
inconclusive,,,,,
incongruent,,,,,
incongruous,,,,,
inconsequential,,,,,
inconsiderable,,,,,
inconsiderate,,,,,
inconsistent,,,,,
inconsolable,,,,,
inconspicuous,,,,,
incontrovertible,,,,,
inconvenient,,,,,
incorrect,,,,,
incorrigible,,,,,
incorruptible,,,,,
increasing,,,,,
incredible,,,,,
incredulous,,,,,
incremental,,,,,
incurable,,,,,
indecent,,,,,
indecipherable,,,,,
indecisive,,,,,
indefensible,,,,,
indefinable,,,,,
indefinite,,,,,
indelible,,,,,
independent,,,,,
indescribable,,,,,
indestructible,,,,,
indeterminable,,,,,
indeterminate,,,,,
indicative,,,,,
indifferent,,,,,
indigenous,,,,,
indignant,,,,,
indirect,,,,,
indiscreet,,,,,
indiscriminate,,,,,
indispensable,,,,,
indisputable,,,,,
indistinct,,,,,
individual,,,,,
individualistic,,,,,
indivisible,,,,,
indomitable,,,,,
inductive,,,,,
indulgent,,,,,
industrial,,,,,
industrious,,,,,
ineffective,,,,,
ineffectual,,,,,
inefficient,,,,,
inelegant,,,,,
ineloquent,,,,,
inequitable,,,,,
inert,,,,,
inescapable,,,,,
inevitable,,,,,
inexact,,,,,
inexcusable,,,,,
inexhaustible,,,,,
inexpedient,,,,,
inexpensive,,,,,
inexplicable,,,,,
inexpressible,,,,,
inexpressive,,,,,
inextricable,,,,,
infallible,,,,,
infamous,,,,,
infantile,,,,,
infatuated,,,,,
infected,,,,,
infectious,,,,,
inferable,,,,,
inferior,,,,,
infernal,,,,,
infinite,,,,,
infinitesimal,,,,,
inflamed,,,,,
inflammable,,,,,
inflammatory,,,,,
inflatable,,,,,
inflated,,,,,
inflexible,,,,,
influential,,,,,
informal,,,,,
informative,,,,,
informed,,,,,
infrequent,,,,,
infuriated,,,,,
infuriating,,,,,
ingenious,,,,,
ingenuous,,,,,
inglorious,,,,,
ingratiating,,,,,
inhabitable,,,,,
inharmonious,,,,,
inherent,,,,,
inhibited,,,,,
inhospitable,,,,,
inhuman,,,,,
inhumane,,,,,
initial,,,,,
injudicious,,,,,
injured,,,,,
injurious,,,,,
innate,,,,,
inner,,,,,
innocent,,,,,
innocuous,,,,,
innovative,,,,,
innumerable,,,,,
inoffensive,,,,,
inoperable,,,,,
inoperative,,,,,
inopportune,,,,,
inordinate,,,,,
inorganic,,,,,
inquiring,,,,,
inquisitive,,,,,
insane,,,,,
insatiable,,,,,
inscrutable,,,,,
insecure,,,,,
insensible,,,,,
insensitive,,,,,
inseparable,,,,,
inside,,,,,
insidious,,,,,
insightful,,,,,
insignificant,,,,,
insincere,,,,,
insipid,,,,,
insistent,,,,,
insolent,,,,,
inspirational,,,,,
inspired,,,,,
inspiring,,,,,
instant,,,,,
instantaneous,,,,,
instinctive,,,,,
instinctual,,,,,
institutional,,,,,
instructive,,,,,
instrumental,,,,,
insubordinate,,,,,
insufferable,,,,,
insufficient,,,,,
insulted,,,,,
insulting,,,,,
insurable,,,,,
insurmountable,,,,,
intangible,,,,,
integral,,,,,
intellectual,,,,,
intelligent,,,,,
intelligible,,,,,
intended,,,,,
intense,,,,,
intensive,,,,,
intentional,,,,,
interactive,,,,,
interchangeable,,,,,
interdepartmental,,,,,
interdependent,,,,,
interested,,,,,
interesting,,,,,
interior,,,,,
intermediate,,,,,
intermittent,,,,,
internal,,,,,
international,,,,,
interpersonal,,,,,
interracial,,,,,
intestinal,,,,,
intimate,,,,,
intimidating,,,,,
intolerable,,,,,
intolerant,,,,,
intravenous,,,,,
intrepid,,,,,
intricate,,,,,
intrigued,,,,,
intriguing,,,,,
intrinsic,,,,,
introductory,,,,,
introspective,,,,,
introverted,,,,,
intrusive,,,,,
intuitive,,,,,
invalid,,,,,
invaluable,,,,,
invasive,,,,,
inventive,,,,,
invigorating,,,,,
invincible,,,,,
invisible,,,,,
invited,,,,,
inviting,,,,,
involuntary,,,,,
involved,,,,,
inward,,,,,
irascible,,,,,
irate,,,,,
iridescent,,,,,
irksome,,,,,
iron,,,,,
iron-fisted,,,,,
ironic,,,,,
irrational,,,,,
irreconcilable,,,,,
irrefutable,,,,,
irregular,,,,,
irrelative,,,,,
irrelevant,,,,,
irremovable,,,,,
irreparable,,,,,
irreplaceable,,,,,
irrepressible,,,,,
irresistible,,,,,
irresponsible,,,,,
irretrievably,,,,,
irreverent,,,,,
irreversible,,,,,
irrevocable,,,,,
irritable,,,,,
irritated,,,,,
irritating,,,,,
isolated,,,,,
itchy,,,,,
its,,,,,
itty-bitty,,,,,
jabbering,,,,,
jaded,,,,,
jagged,,,,,
jarring,,,,,
jaundiced,,,,,
jazzy,,,,,
jealous,,,,,
jeering,,,,,
jerky,,,,,
jiggling,,,,,
jittery,,,,,
jobless,,,,,
jocular,,,,,
joint,,,,,
jolly,,,,,
jovial,,,,,
joyful,,,,,
joyless,,,,,
joyous,,,,,
jubilant,,,,,
judgmental,,,,,
judicious,,,,,
juicy,,,,,
jumbled,,,,,
jumpy,,,,,
junior,,,,,
just,,,,,
justifiable,,,,,
juvenile,,,,,
kaput,,,,,
keen,,,,,
key,,,,,
kind,,,,,
kindhearted,,,,,
kindly,,,,,
kinesthetic,,,,,
kingly,,,,,
kitchen,,,,,
knavish,,,,,
knightly,,,,,
knobbed,,,,,
knobby,,,,,
knotty,,,,,
knowable,,,,,
knowing,,,,,
knowledgeable,,,,,
known,,,,,
labored,,,,,
laborious,,,,,
lackadaisical,,,,,
lacking,,,,,
lacy,,,,,
lame,,,,,
lamentable,,,,,
languid,,,,,
languishing,,,,,
lanky,,,,,
larcenous,,,,,
large,,,,,
larger,,,,,
largest,,,,,
lascivious,,,,,
last,,,,,
lasting,,,,,
late,,,,,
latent,,,,,
later,,,,,
lateral,,,,,
latest,,,,,
latter,,,,,
laudable,,,,,
laughable,,,,,
laughing,,,,,
lavish,,,,,
lawful,,,,,
lawless,,,,,
lax,,,,,
lazy,,,,,
lead,,,,,
leading,,,,,
lean,,,,,
learnable,,,,,
learned,,,,,
leased,,,,,
least,,,,,
leather,,,,,
leathery,,,,,
lecherous,,,,,
leering,,,,,
left,,,,,
left-handed,,,,,
legal,,,,,
legendary,,,,,
legible,,,,,
legislative,,,,,
legitimate,,,,,
lengthy,,,,,
lenient,,,,,
less,,,,,
lesser,,,,,
lesser-known,,,,,
less-qualified,,,,,
lethal,,,,,
lethargic,,,,,
level,,,,,
liable,,,,,
libelous,,,,,
liberal,,,,,
licensed,,,,,
life,,,,,
lifeless,,,,,
lifelike,,,,,
lifelong,,,,,
light,,,,,
light-blue,,,,,
lighthearted,,,,,
likable,,,,,
likeable,,,,,
likely,,,,,
like-minded,,,,,
lily-livered,,,,,
limber,,,,,
limited,,,,,
limitless,,,,,
limp,,,,,
limping,,,,,
linear,,,,,
lined,,,,,
lingering,,,,,
linguistic,,,,,
liquid,,,,,
listless,,,,,
literal,,,,,
literary,,,,,
literate,,,,,
lithe,,,,,
lithographic,,,,,
litigious,,,,,
little,,,,,
livable,,,,,
live,,,,,
lively,,,,,
livid,,,,,
living,,,,,
loathsome,,,,,
local,,,,,
locatable,,,,,
locked,,,,,
lofty,,,,,
logarithmic,,,,,
logical,,,,,
logistic,,,,,
lonely,,,,,
long,,,,,
longer,,,,,
longest,,,,,
longing,,,,,
long-term,,,,,
long-winded,,,,,
loose,,,,,
lopsided,,,,,
loquacious,,,,,
lordly,,,,,
lost,,,,,
loud,,,,,
lousy,,,,,
loutish,,,,,
lovable,,,,,
loveable,,,,,
lovely,,,,,
loving,,,,,
low,,,,,
low-calorie,,,,,
low-carb,,,,,
lower,,,,,
low-fat,,,,,
lowly,,,,,
low-maintenance,,,,,
low-ranking,,,,,
low-risk,,,,,
loyal,,,,,
lucent,,,,,
lucid,,,,,
lucky,,,,,
lucrative,,,,,
ludicrous,,,,,
lukewarm,,,,,
lulling,,,,,
luminescent,,,,,
luminous,,,,,
lumpy,,,,,
lurid,,,,,
luscious,,,,,
lush,,,,,
lustrous,,,,,
luxurious,,,,,
lying,,,,,
lyrical,,,,,
macabre,,,,,
Machiavellian,,,,,
macho,,,,,
mad,,,,,
maddening,,,,,
magenta,,,,,
magic,,,,,
magical,,,,,
magnanimous,,,,,
magnetic,,,,,
magnificent,,,,,
maiden,,,,,
main,,,,,
maintainable,,,,,
majestic,,,,,
major,,,,,
makeable,,,,,
makeshift,,,,,
maladjusted,,,,,
male,,,,,
malevolent,,,,,
malicious,,,,,
malignant,,,,,
malleable,,,,,
mammoth,,,,,
manageable,,,,,
managerial,,,,,
mandatory,,,,,
maneuverable,,,,,
mangy,,,,,
maniacal,,,,,
manic,,,,,
manicured,,,,,
manipulative,,,,,
man-made,,,,,
manual,,,,,
many,,,,,
marbled,,,,,
marginal,,,,,
marked,,,,,
marketable,,,,,
married,,,,,
marvelous,,,,,
masked,,,,,
massive,,,,,
master,,,,,
masterful,,,,,
matchless,,,,,
material,,,,,
materialistic,,,,,
maternal,,,,,
mathematical,,,,,
matronly,,,,,
matted,,,,,
mature,,,,,
maximum,,,,,
meager,,,,,
mean,,,,,
meandering,,,,,
meaningful,,,,,
meaningless,,,,,
mean-spirited,,,,,
measly,,,,,
measurable,,,,,
meat-eating,,,,,
meaty,,,,,
mechanical,,,,,
medical,,,,,
medicinal,,,,,
meditative,,,,,
medium,,,,,
medium-rare,,,,,
meek,,,,,
melancholy,,,,,
mellow,,,,,
melodic,,,,,
melodious,,,,,
melodramatic,,,,,
melted,,,,,
memorable,,,,,
menacing,,,,,
menial,,,,,
mental,,,,,
merciful,,,,,
merciless,,,,,
mercurial,,,,,
mere,,,,,
merry,,,,,
messy,,,,,
metabolic,,,,,
metallic,,,,,
metaphoric,,,,,
meteoric,,,,,
meticulous,,,,,
microscopic,,,,,
microwaveable,,,,,
middle,,,,,
middle-class,,,,,
midweek,,,,,
mighty,,,,,
mild,,,,,
militant,,,,,
militaristic,,,,,
military,,,,,
milky,,,,,
mincing,,,,,
mind-bending,,,,,
mindful,,,,,
mindless,,,,,
mini,,,,,
miniature,,,,,
minimal,,,,,
minimum,,,,,
minor,,,,,
minute,,,,,
miraculous,,,,,
mirthful,,,,,
miscellaneous,,,,,
mischievous,,,,,
miscreant,,,,,
miserable,,,,,
miserly,,,,,
misguided,,,,,
misleading,,,,,
mission,,,,,
mistaken,,,,,
mistrustful,,,,,
mistrusting,,,,,
misty,,,,,
mixed,,,,,
mnemonic,,,,,
moaning,,,,,
mobile,,,,,
mocking,,,,,
moderate,,,,,
modern,,,,,
modest,,,,,
modified,,,,,
modular,,,,,
moist,,,,,
moldy,,,,,
momentary,,,,,
momentous,,,,,
monetary,,,,,
money-grubbing,,,,,
monopolistic,,,,,
monosyllabic,,,,,
monotone,,,,,
monotonous,,,,,
monstrous,,,,,
monumental,,,,,
moody,,,,,
moral,,,,,
moralistic,,,,,
morbid,,,,,
mordant,,,,,
more,,,,,
moronic,,,,,
morose,,,,,
mortal,,,,,
mortified,,,,,
most,,,,,
mother,,,,,
motherly,,,,,
motionless,,,,,
motivated,,,,,
motivating,,,,,
motivational,,,,,
motor,,,,,
mountain,,,,,
mountainous,,,,,
mournful,,,,,
mouthwatering,,,,,
movable,,,,,
moved,,,,,
moving,,,,,
much,,,,,
muddled,,,,,
muddy,,,,,
muffled,,,,,
muggy,,,,,
multicultural,,,,,
multifaceted,,,,,
multipurpose,,,,,
multitalented,,,,,
mumbled,,,,,
mundane,,,,,
municipal,,,,,
murky,,,,,
muscular,,,,,
mushy,,,,,
musical,,,,,
musky,,,,,
musty,,,,,
mutative,,,,,
mute,,,,,
muted,,,,,
mutinous,,,,,
muttering,,,,,
mutual,,,,,
my,,,,,
myopic,,,,,
mysterious,,,,,
mystic,,,,,
mystical,,,,,
mystified,,,,,
mystifying,,,,,
mythical,,,,,
naive,,,,,
nameless,,,,,
narcissistic,,,,,
narrow,,,,,
narrow-minded,,,,,
nasal,,,,,
nasty,,,,,
national,,,,,
native,,,,,
natural,,,,,
naughty,,,,,
nauseating,,,,,
nauseous,,,,,
nautical,,,,,
navigable,,,,,
navy-blue,,,,,
near,,,,,
nearby,,,,,
nearest,,,,,
nearsighted,,,,,
neat,,,,,
nebulous,,,,,
necessary,,,,,
needless,,,,,
needy,,,,,
nefarious,,,,,
negative,,,,,
neglected,,,,,
neglectful,,,,,
negligent,,,,,
negligible,,,,,
negotiable,,,,,
neighborly,,,,,
neither,,,,,
nerve-racking,,,,,
nervous,,,,,
neurological,,,,,
neurotic,,,,,
neutral,,,,,
new,,,,,
newest,,,,,
next,,,,,
next-door,,,,,
nice,,,,,
nifty,,,,,
nightmarish,,,,,
nimble,,,,,
nine,,,,,
ninth,,,,,
nippy,,,,,
no,,,,,
noble,,,,,
nocturnal,,,,,
noiseless,,,,,
noisy,,,,,
nominal,,,,,
nonabrasive,,,,,
nonaggressive,,,,,
nonchalant,,,,,
noncommittal,,,,,
noncompetitive,,,,,
nonconsecutive,,,,,
nondescript,,,,,
nondestructive,,,,,
nonexclusive,,,,,
nonnegotiable,,,,,
nonproductive,,,,,
nonrefundable,,,,,
nonrenewable,,,,,
nonresponsive,,,,,
nonrestrictive,,,,,
nonreturnable,,,,,
nonsensical,,,,,
nonspecific,,,,,
nonstop,,,,,
nontransferable,,,,,
nonverbal,,,,,
nonviolent,,,,,
normal,,,,,
north,,,,,
northeast,,,,,
northerly,,,,,
northwest,,,,,
nostalgic,,,,,
nosy,,,,,
notable,,,,,
noticeable,,,,,
notorious,,,,,
novel,,,,,
noxious,,,,,
null,,,,,
numb,,,,,
numberless,,,,,
numbing,,,,,
numerable,,,,,
numeric,,,,,
numerous,,,,,
nutritional,,,,,
nutritious,,,,,
nutty,,,,,
oafish,,,,,
obedient,,,,,
obeisant,,,,,
obese,,,,,
objectionable,,,,,
objective,,,,,
obligatory,,,,,
obliging,,,,,
oblique,,,,,
